algorithm_id,algorithm_name,enrichment_status,review_reasons
AW-000002,Karpinski,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000004,Larmore,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000009,Klinz,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000010,Eppstein,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_access_model
AW-000013,Lokshtanov,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_access_model
AW-000015,"Lawrence, Reilly",WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000034,Brute Force,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000057,Bjorck-Pereyra,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000063,Naive Implementation,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000081,Rabin-Karp (RK) algorithm,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_access_model
AW-000088,Rabin–Scott powerset construction,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000089,Karatsuba Algorithm,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000090,Toom-3,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000091,Long Multiplication,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000100,Psinger,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000102,Brute Force,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000103,Grenander,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000104,Faster Brute Force (via x[L:U] = x[L:U-1]+x[U]),WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000105,Shamos,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000106,Kadane's Algorithm,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000113,Brute Force,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000115,Brute Force,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000124,The SUSAN corner detector,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000130,R. Paget I.D. Longstaff,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000133,UKF,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000134,Compressed Extended KF,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000138,Khuller Matias,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000140,Bitap algorithm,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_access_model
AW-000156,Hashing,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000174,Harrow (Quantum),READY_WEB_ENRICHED,public_leakage_term_in_name_or_statement
AW-000205,Fortune and Hopcroft,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000206,Rabin' Algorithm,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000207,Bentley Shamos,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000208,Hinrichs Nievergelt Schorn,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000209,Shamos Hoey,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000210,Dyer,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000233,Trial division,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000234,Wheel factorization,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000237,Williams' p + 1 algorithm,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000238,Lenstra elliptic curve factorization,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000239,Fermat's factorization method,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000240,Euler's factorization method,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000241,Dixon's algorithm,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000242,Continued fraction factorization (CFRAC),WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000243,Quadratic sieve,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000244,Rational sieve,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000245,Shanks's square forms factorization (SQUFOF),WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000257,Furer's algorithm,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000259,Harvey Hoeven,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000260,Harvey Hoeven Lecerf,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000261,Covanov and Thomé,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000263,Harvey Hoeven Lecerf,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000264,Lamport's bakery algorithm,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000265,Szymanski's algorithm,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000266,Taubenfeld's black-white bakery algorithm,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000267,Maekawa's algorithm,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000269,Suzuki-Kasami's algorithm,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000272,Bird,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000273,Resource hierarchy solution,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000274,Arbitrator solution,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000278,Overlap Layout Consensus,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000279,Greedy SEQAID,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000280,Dürer rendering algorithm,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000281,Appel's algorithm 1968,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000282,Whitted's algorithm 1979,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000284,A. Chalmers T. Davis and E. Reinhard 2002,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000285,Moravec's algorithm 1980,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000286,Förstner algorithm 1987,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000287,J. J. Koenderink and W. Richards 1988,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000288,Lindeberg (1994),WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000291,Lowe (2004),WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000292,T. Lindeberg and J. Garding (1997),WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000293,Lindeberg 2005,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000294,The Wang and Brady corner detection algorithm 1995,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000295,The Trajkovic and Hedley corner detector 1998,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000297,Trujillo and Olague 2008,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000298,Geert Willems Tinne Tuytelaars and Luc van Gool (2008),WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000299,"Tao Luo, Zaifeng Shi and Pumeng Wang",WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000300,T. Lindeberg DoG 2012,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000301,T. Lindeberg DoG 2015,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000302,SIFT Algorithm Lowe 2004,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000303,Hessain Determinant Lindeberg 1994,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000304,Hessain Determinant Lindeberg 1998,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000305,SURF Descriptor 2006,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000306,Hessian-Laplace Mikolajczyk and Schmid 2004,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000307,Spatio-temporal Geert Willems Tinne Tuytelaars and Luc van Gool (2008),WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000308,Lindeberg's watershed-based grey-level blob detection algorithm 1991,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000309,Maximally stable extremal regions Matas 2002,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000310,A. Baumberg. 2000,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000311,Y. Dufournaud C. Schmid and R. Horaud 2000,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000312,local scale-invariant Lowe 1999,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000313,T. Tuytelaars and L. Van Gool 2000,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000314,view frustum culling,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000315,Sector-Based Culling,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000316,Occlusion Culling,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000317,Contribution Culling,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000319,CNN Based Gatys Leon A 2001,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000320,P.Hanrahan and W.Krueger 1993,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000321,H.W.Jensen 2001,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000322,He X. D. Torrance K. E. Sillion 1991,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000323,Kajiya J. Anisotropic Reflection Models 1985,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000324,"Nakamae E. Kaneda K. Okamoto T. and, Nishita 1990",WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000325,Cabral B. Max N. and Springmeyer R 1990,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000326,Westin S. H. Arvo J. R. and Torrance K. E 1992,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000327,Phong,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000328,Blinn–Phong,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000329,Cook–Torrance (microfacets),WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000330,Ward anisotropic,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000331,Hanrahan–Krueger,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000332,Linda G. Shapiro and George C. Stockman (2001),WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000333,Recursive Region Splitting,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000334,Barghout Lauren Visual Taxometric approach,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000335,Dual clustering - Guberman,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000336,R. Nock and F. Nielsen Statistical Region Merging,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000337,Kass Witkin and Terzopoulos,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000339,S.L. Horowitz and T. Pavlidis - directed split and merge,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000340,David Mumford and Jayant Shah (1989),WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000341,Geman and Geman Markov random fields,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000342,Iterated conditional modes algorithm,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000343,watershed transformation 1979,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000344,topological watershed,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000345,Florack and Kuijper,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000346,Bijaoui and Rué,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000347,Multi-scale MAP estimation - A. Bouman and M. Shapiro (2002),WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000349,Quasi-linear Topological watershed,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000351,Coplanar facets merging - M.J. De Haemer and M.J. Zyda 1991,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model; missing_size_parameters
AW-000352,Coplanar facets merging - Hinker P. and Hansen C. 1993,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model; missing_size_parameters
AW-000353,Coplanar facets merging - Kalvin A. D. Cutting C. B. Haddad B. and Noz M. E. 1991,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model; missing_size_parameters
AW-000354,Coplanar facets merging - A.D. Kalvin and R.H. Taylor 1996,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model; missing_size_parameters
AW-000355,Controlled vertex/edge/face decimation - M.E. Algorri and F. Schmitt 1996,WEB_INSUFFICIENT,missing_size_parameters
AW-000356,Controlled vertex/edge/face decimation - Guéziec 1996,WEB_INSUFFICIENT,missing_size_parameters
AW-000357,Controlled vertex/edge/face decimation - R. Ronfard and J. Rossignac 1996,WEB_INSUFFICIENT,missing_size_parameters
AW-000358,Controlled vertex/edge/face decimation - Hamann 1994,WEB_INSUFFICIENT,missing_size_parameters
AW-000359,Controlled vertex/edge/face decimation - Cohen J. Varshney A 1996,WEB_INSUFFICIENT,missing_size_parameters
AW-000360,Re-tiling - Turk G 1992,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model; missing_size_parameters
AW-000361,Vertex clustering - Rossignac J. and Borrel P. 1993,WEB_INSUFFICIENT,missing_size_parameters
AW-000362,Vertex clustering - Low K. L. and Tan T. S 1997,WEB_INSUFFICIENT,missing_size_parameters
AW-000363,Vertex clustering - Reddy 1996,WEB_INSUFFICIENT,missing_size_parameters
AW-000364,Vertex clustering - Hoppe H. DeRose T. 1993,WEB_INSUFFICIENT,missing_size_parameters
AW-000365,Vertex clustering - Rossignac J. and Borrel P. 1997,WEB_INSUFFICIENT,missing_size_parameters
AW-000366,Wavelet-based - M.H. Gross O.G. Staadt and R. Gatti 1996,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model; missing_size_parameters
AW-000367,Wavelet-based - D.J. Hebert and H-J. Kim 1995,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model; missing_size_parameters
AW-000368,Wavelet-based - Certain A. Popovic J. 1996,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model; missing_size_parameters
AW-000369,Wavelet-based - Eck M. DeRose T. 1995,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model; missing_size_parameters
AW-000370,Simplification via intermediate hierarchical rep-resentation - Andujar 1996,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model; missing_size_parameters
AW-000371,Simplification via intermediate hierarchical rep-resentation - He T. Hong L. Kaufman 1995,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model; missing_size_parameters
AW-000372,Simplification via intermediate hierarchical rep-resentation - He T. Hong 1996,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model; missing_size_parameters
AW-000373,Hauskrecht 2000,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model; missing_size_parameters
AW-000374,Pineau Gordon & Thrun 2003,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model; missing_size_parameters
AW-000375,Braziunas & Boutilier 2004,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model; missing_size_parameters
AW-000376,Poupart 2005,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model; missing_size_parameters
AW-000377,Smith & Simmons 2005,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model; missing_size_parameters
AW-000378,Spaan & Vlassis 2005,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model; missing_size_parameters
AW-000379,Satia & Lave 1973,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model; missing_size_parameters
AW-000380,Washington 1997,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model; missing_size_parameters
AW-000381,BartoBradtke & Singhe 1995,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model; missing_size_parameters
AW-000382,Paquet Tobin & Chaib-draa 2005,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model; missing_size_parameters
AW-000383,McAllester & Singh 1999,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model; missing_size_parameters
AW-000384,Bertsekas & Castanon 1999,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model; missing_size_parameters
AW-000385,Shani Brafman & Shimony 2005,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model; missing_size_parameters
AW-000388,Blinn and Newell,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model; missing_size_parameters
AW-000389,Nate Green,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000390,Sphere mapping,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model; missing_size_parameters
AW-000391,Heidrich W. and H.-P. Seidel,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000392,Emil Praun,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000393,Mauro Steigleder,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model; missing_size_parameters
AW-000394,HEALPix mapping Wong,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000395,Maximum a Posteriori Occupancy Mapping,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000397,srba,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000417,Schöning,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000418,Hirsch,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000419,Johnson,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000420,Alon and Kahale,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000422,Special number field sieve,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000423,General number field sieve,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_output_contract; unknown_access_model
AW-000426,Quick-Skip Searching,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_access_model
AW-000430,Aho–Corasick (AC) Algorithm,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_access_model
AW-000432,Raita Algorithm,WEB_INSUFFICIENT,missing_concrete_problem_statement; unknown_input_model; unknown_access_model
