algorithm_id,algorithm_name,reconstruction_decision,review_reasons,confidence_score
AW-000002,Karpinski,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,25
AW-000004,Larmore,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,25
AW-000009,Klinz,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,25
AW-000015,"Lawrence, Reilly",STILL_REVIEW_NEEDED,public_leakage_term_in_name_or_statement,85
AW-000100,Psinger,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000133,UKF,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000134,Compressed Extended KF,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000174,Harrow (Quantum),STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,80
AW-000237,Williams' p + 1 algorithm,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000261,Covanov and Thomé,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000263,Harvey Hoeven Lecerf,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000284,A. Chalmers T. Davis and E. Reinhard 2002,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,15
AW-000287,J. J. Koenderink and W. Richards 1988,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,15
AW-000288,Lindeberg (1994),STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,15
AW-000292,T. Lindeberg and J. Garding (1997),STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,15
AW-000293,Lindeberg 2005,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,15
AW-000294,The Wang and Brady corner detection algorithm 1995,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,15
AW-000298,Geert Willems Tinne Tuytelaars and Luc van Gool (2008),STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,15
AW-000299,"Tao Luo, Zaifeng Shi and Pumeng Wang",STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,15
AW-000300,T. Lindeberg DoG 2012,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,15
AW-000301,T. Lindeberg DoG 2015,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,15
AW-000303,Hessain Determinant Lindeberg 1994,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,15
AW-000304,Hessain Determinant Lindeberg 1998,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,15
AW-000307,Spatio-temporal Geert Willems Tinne Tuytelaars and Luc van Gool (2008),STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,15
AW-000309,Maximally stable extremal regions Matas 2002,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,15
AW-000310,A. Baumberg. 2000,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,15
AW-000311,Y. Dufournaud C. Schmid and R. Horaud 2000,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,15
AW-000313,T. Tuytelaars and L. Van Gool 2000,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,15
AW-000319,CNN Based Gatys Leon A 2001,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,15
AW-000320,P.Hanrahan and W.Krueger 1993,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,15
AW-000321,H.W.Jensen 2001,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,15
AW-000324,"Nakamae E. Kaneda K. Okamoto T. and, Nishita 1990",STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,15
AW-000325,Cabral B. Max N. and Springmeyer R 1990,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,15
AW-000330,Ward anisotropic,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,15
AW-000331,Hanrahan–Krueger,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,15
AW-000332,Linda G. Shapiro and George C. Stockman (2001),STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,15
AW-000333,Recursive Region Splitting,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,15
AW-000334,Barghout Lauren Visual Taxometric approach,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,15
AW-000335,Dual clustering - Guberman,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,15
AW-000337,Kass Witkin and Terzopoulos,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,15
AW-000342,Iterated conditional modes algorithm,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,15
AW-000345,Florack and Kuijper,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,15
AW-000346,Bijaoui and Rué,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,15
AW-000347,Multi-scale MAP estimation - A. Bouman and M. Shapiro (2002),STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,15
AW-000351,Coplanar facets merging - M.J. De Haemer and M.J. Zyda 1991,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,0
AW-000352,Coplanar facets merging - Hinker P. and Hansen C. 1993,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,0
AW-000353,Coplanar facets merging - Kalvin A. D. Cutting C. B. Haddad B. and Noz M. E. 1991,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,0
AW-000354,Coplanar facets merging - A.D. Kalvin and R.H. Taylor 1996,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,0
AW-000355,Controlled vertex/edge/face decimation - M.E. Algorri and F. Schmitt 1996,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,0
AW-000356,Controlled vertex/edge/face decimation - Guéziec 1996,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,0
AW-000357,Controlled vertex/edge/face decimation - R. Ronfard and J. Rossignac 1996,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,0
AW-000358,Controlled vertex/edge/face decimation - Hamann 1994,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,0
AW-000359,Controlled vertex/edge/face decimation - Cohen J. Varshney A 1996,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,0
AW-000360,Re-tiling - Turk G 1992,STILL_REVIEW_NEEDED,source-backed I/O reconstruction is still insufficient,50
AW-000361,Vertex clustering - Rossignac J. and Borrel P. 1993,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,0
AW-000362,Vertex clustering - Low K. L. and Tan T. S 1997,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,0
AW-000363,Vertex clustering - Reddy 1996,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,0
AW-000364,Vertex clustering - Hoppe H. DeRose T. 1993,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,0
AW-000365,Vertex clustering - Rossignac J. and Borrel P. 1997,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,0
AW-000366,Wavelet-based - M.H. Gross O.G. Staadt and R. Gatti 1996,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,0
AW-000367,Wavelet-based - D.J. Hebert and H-J. Kim 1995,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,0
AW-000368,Wavelet-based - Certain A. Popovic J. 1996,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,0
AW-000369,Wavelet-based - Eck M. DeRose T. 1995,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,0
AW-000370,Simplification via intermediate hierarchical rep-resentation - Andujar 1996,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,0
AW-000371,Simplification via intermediate hierarchical rep-resentation - He T. Hong L. Kaufman 1995,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,0
AW-000372,Simplification via intermediate hierarchical rep-resentation - He T. Hong 1996,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,0
AW-000373,Hauskrecht 2000,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,0
AW-000374,Pineau Gordon & Thrun 2003,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,0
AW-000375,Braziunas & Boutilier 2004,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,0
AW-000376,Poupart 2005,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,0
AW-000377,Smith & Simmons 2005,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,0
AW-000378,Spaan & Vlassis 2005,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,0
AW-000379,Satia & Lave 1973,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,0
AW-000380,Washington 1997,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,0
AW-000381,BartoBradtke & Singhe 1995,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,0
AW-000382,Paquet Tobin & Chaib-draa 2005,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,0
AW-000383,McAllester & Singh 1999,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,0
AW-000384,Bertsekas & Castanon 1999,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,0
AW-000385,Shani Brafman & Shimony 2005,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,0
AW-000388,Blinn and Newell,STILL_REVIEW_NEEDED,missing_size_parameters,65
AW-000389,Nate Green,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,15
AW-000390,Sphere mapping,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,15
AW-000391,Heidrich W. and H.-P. Seidel,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,15
AW-000392,Emil Praun,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,15
AW-000393,Mauro Steigleder,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,15
AW-000394,HEALPix mapping Wong,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,15
AW-000395,Maximum a Posteriori Occupancy Mapping,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,15
AW-000397,srba,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000417,Schöning,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,15
AW-000418,Hirsch,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,15
AW-000419,Johnson,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,15
AW-000420,Alon and Kahale,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,15
AW-000423,General number field sieve,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000437,Nested loop join,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000439,Hash join,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000462,Sattolo's algorithm,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000463,Buchberger's algorithm,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000468,Steinhaus–Johnson–Trotter algorithm,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000469,Tompkins–Paige algorithm,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000477,Levcopoulos Lingas Sack,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000486,Naive algorithm,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000487,Cooley–Tukey algorithm,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000488,Rader–Brenner algorithm,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000489,Bruun's FFT algorithm,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000495,Wang-Zhu-Cantor additive FFT,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000496,Gao’s additive FFT,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000533,False position method,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000535,Secant method,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000536,Ridder's method,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000537,Muller's method,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000538,Todd–Coxeter algorithm,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000539,Haselgrove-Leech-Trotter (HLT) algorithm,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000541,Expectation–maximization (EM) algorithm,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000543,Parameter-expanded expectation maximization (PX-EM) algorithm,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000545,Generalized expectation maximization (GEM) algorithm,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000546,α-EM algorithm,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000547,Naive solution,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000548,Flajolet–Martin algorithm,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000549,LogLog algorithm,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000553,Chow's Algorithm,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000554,"Linear Scan, Poletto & Sarkar",STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000555,"Optimal Register Allocation (ORA), Goodwin & Wilken Algorithm",STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,25
AW-000556,Kong and Wilken Algorithm,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,25
AW-000559,Naïve algorithm,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000560,Two-pass algorithm,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000561,Welford's Online algorithm,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000562,Weighted incremental algorithm,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000593,5-point star Cramer's rule,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000594,5-point Gauss elimination,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000595,5-point Gauss Seidel iteration,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000596,5-point SOR iteration,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000597,5-point ADI iteration,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000598,9-point SOR iteration,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000599,9-point Tensor product,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000600,9-point ADI iteration,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000601,5-point FFT,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000602,5-point FFT,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000603,5-point FFT,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000604,5-point FFT,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000605,5-point star Cramer's rule,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000606,5-point Gauss elimination,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000607,5-point Gauss Seidel iteration,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000608,5-point SOR iteration,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000609,5-point ADI iteration,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000610,9-point SOR iteration,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000611,9-point Tensor product,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000612,9-point ADI iteration,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000613,5-point FFT,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000614,9-point ADI iteration + smooth guess,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000615,5-point cyclic reduction,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000616,9-point FFT,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000631,Naive algorithm,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000632,Brute force algorithm,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000633,Schlimmer,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000634,Liu,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000635,Tradu Mirc,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,25
AW-000636,Xu Renio,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,25
AW-000637,Xu Renio,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,25
AW-000638,Xu Renio,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,25
AW-000639,Xu Renio,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,25
AW-000640,Xu Renio,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,25
AW-000641,Xu Renio,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,25
AW-000642,Xu Renio,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,25
AW-000643,Räihä Manilla,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000644,Catriel Beeri Ronald Fagin John H. Howard,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,25
AW-000645,FCFS,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000647,SCAN,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000648,LOOK,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000649,C-SCAN,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000650,C-LOOK,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000665,A-Priori algorithm,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000666,The Algorithm of Park Chen and Yu (PCY),STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000667,The Multistage Algorithm,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000668,The Multihash Algorithm,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000670,Discrete Cosine Transform,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000671,Maneva and M. J. Wainwright,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000672,Ciliberti Mézard,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000674,Matsunaga Yamamoto,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000675,Sun M. Shao J. Chen K. Wong and X. Wu,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000676,Miyake 2006,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000678,Jalali and T. Weissman,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000679,Jalali A. Montanari and T. Weissman,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000680,Korada and R. Urbanke,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000681,Schubert's algorithm/Kronecker's method,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
AW-000682,Berlekamp–Massey algorithm,STILL_REVIEW_NEEDED,No second-pass rule could identify source-backed task semantics.,30
